t,x,y,cx,cy,bx,by
193.80,85.94,-35.03, -0.34,0.05,-0.27,-0.08
197.92,82.83,-12.77, -0.28,-0.12,-0.27,-0.08
198.40,81.89,-11.19, -0.41,-0.23,-0.27,-0.08
198.96,80.32,-8.94, -0.57,-0.37,-0.27,-0.08
201.93,79.53,-6.34, -0.32,-0.27,-0.27,-0.08
202.45,79.60,-6.05, -0.57,-0.47,-0.28,-0.08
202.63,79.45,-6.11, -0.42,-0.35,-0.28,-0.08
202.82,79.62,-5.83, -0.76,-0.61,-0.28,-0.09
203.12,79.53,-5.82, -0.63,-0.52,-0.28,-0.09
203.33,79.72,-5.59, -1.13,-0.90,-0.29,-0.09
203.50,79.60,-5.62, -0.93,-0.75,-0.29,-0.10
203.76,79.47,-5.63, -0.75,-0.62,-0.29,-0.10
203.90,79.44,-5.61, -0.89,-0.71,-0.29,-0.10
204.23,79.30,-5.66, -0.68,-0.55,-0.30,-0.10
204.33,79.12,-5.73, -0.54,-0.44,-0.30,-0.11
204.50,79.14,-5.68, -0.64,-0.51,-0.30,-0.11
204.74,78.96,-5.75, -0.54,-0.44,-0.30,-0.11
204.84,79.14,-5.61, -0.72,-0.56,-0.30,-0.11
204.99,78.98,-5.68, -0.60,-0.47,-0.30,-0.11
205.20,78.80,-5.77, -0.49,-0.39,-0.30,-0.12
205.42,79.02,-5.64, -0.64,-0.50,-0.31,-0.12
205.84,79.27,-5.46, -0.98,-0.76,-0.31,-0.12
205.92,79.27,-5.46, -0.98,-0.76,-0.31,-0.12
206.17,79.02,-5.57, -0.67,-0.53,-0.31,-0.13
206.39,79.22,-5.45, -0.95,-0.74,-0.32,-0.13
206.67,79.07,-5.52, -0.77,-0.60,-0.32,-0.13
206.76,79.07,-5.52, -0.77,-0.60,-0.32,-0.13
206.88,79.00,-5.53, -0.71,-0.55,-0.32,-0.13
207.13,78.83,-5.62, -0.61,-0.47,-0.32,-0.14
207.42,79.11,-5.47, -0.87,-0.67,-0.33,-0.14
207.57,78.91,-5.56, -0.66,-0.52,-0.33,-0.14
