x,y
-195.33372380951207,-304.2066987156361
-196.94140877961144,-304.20666665638345
-196.94140877961144,-304.20666665638345
-198.58648289091926,-304.26208740029807
-201.9981426983843,-304.39510709681247
-203.7647279457061,-304.4505244792302
-205.5687000779764,-304.45048694204525
-207.43810125000618,-304.4504476933642
-209.36358422221753,-304.43931613166984
-209.36358422221753,-304.43931613166984
-211.31710820808362,-304.42818359127597
-213.3360612290935,-304.4170492432098
-215.33631950574116,-304.3726425980711
-219.42095880965104,-304.27273544610676
-221.4866458191899,-304.2172353261344
-223.56167981188318,-304.1617345607772
-223.56167981188318,-304.1617345607772
-225.64606103987003,-304.1173239054337
-227.72109524479737,-304.0729130249502
-229.81482369939303,-304.03959203610333
-231.90855240386293,-304.01736136309563
-236.1988287043876,-304.0505315654177
-238.38602825537356,-304.0615695617611
-238.38602825537356,-304.0615695617611
-240.601268557243,-304.0615156220125
-242.82585531795996,-304.03927942506755
-245.06913745941563,-304.07249607890213
-247.28437915770965,-304.1278944559887
-251.84571957322365,-304.19432330611096
-254.1731225393041,-304.1388096158771
-254.1731225393041,-304.1388096158771
-256.4818326240687,-304.12765891994866
-258.81858197082073,-304.04996236009947
-261.1833717062995,-303.9500829688747
-263.54816288053655,-303.9056568329604
-268.2123143128672,-303.7502600537702
-270.42755423921284,-303.7391086320256
-270.42755423921284,-303.7391086320256
-272.64279446806546,-303.7390474759264
-274.80195452589095,-303.8055319737716
-276.9704634905713,-303.9385603195325
-279.036157970149,-304.16031721856876
-282.45718112268617,-304.8256654217316
-283.8312035175621,-305.25816567138696
-283.8312035175621,-305.25816567138696
-285.1584938915065,-305.79048396102525
-286.43905356941247,-306.46698336597467
-287.5981068539236,-307.29875685604117
-288.5982641038095,-308.23035174818256
-289.3367065594422,-309.2063172964381
-290.43971895010304,-311.4133468444125
-290.43971895010304,-311.4133468444125
-290.8136358457065,-312.64441060977157
-291.00061286583866,-313.88657065360815
-290.9819946241034,-316.4485376937084
-290.9819946241034,-316.4485376937084
-290.1595323508693,-318.99943770846886
-289.47723581689013,-320.21944184666506
-289.47723581689013,-320.21944184666506
-288.64538350655755,-321.32854268715323
-287.68267009293567,-322.3489211727281
-285.4113844037834,-323.7575143567324
-283.99065049400286,-324.23445832811547
-283.99065049400286,-324.23445832811547
-280.85941623270486,-324.89999407017683
-280.85941623270486,-324.89999407017683
-279.20500094072617,-325.1884010337261
-277.39168454961896,-325.4213583825263
-273.83981598428966,-325.4658209666501
-271.9797566182112,-325.4215095218116
-270.0262279232267,-325.4104725820557
-267.979228371324,-325.3772562755539
-267.979228371324,-325.3772562755539
-265.8574541269982,-325.3994953820795
-261.32414751447527,-325.43288916231893
-259.09020659489414,-325.36640367806626
-256.80018615729574,-325.39973602616857
-254.5288591825783,-325.4108858285157
-254.5288591825783,-325.4108858285157
-252.28557242733697,-325.3887620966065
-250.0703259129429,-325.3333648481281
-245.78938564468135,-325.2336558827059
-243.5274073686136,-325.31134749456277
-241.368244164407,-325.30030995251667
-239.31189473850125,-325.14508950594023
-239.31189473850125,-325.14508950594023
-237.20880998301192,-324.97877899221135
-235.12441987880584,-324.83464911052926
-230.8341329540931,-324.734933859124
-228.67496834233748,-324.6573489480117
-226.57188514821928,-324.5464899796037
-224.44076295078776,-324.52435731203013
-224.44076295078776,-324.52435731203013
-222.33768183825592,-324.5022235489691
-220.1972118903609,-324.44681788098563
-215.98170026842723,-324.2916406580251
-213.9440479148587,-324.2473221351368
-211.8877024863479,-324.2473666491795
-209.84070313477622,-324.2030474780714
-209.84070313477622,-324.2030474780714
-207.7937016953158,-324.05891100750404
-203.86794451072262,-323.7262702435773
-202.03592389875627,-323.5377650601657
-200.25063915244314,-323.38253087452154
-198.55882470000722,-323.22729447891436
-196.82027673880154,-323.14969407411763
-196.82027673880154,-323.14969407411763
-195.07238353758632,-323.1608196589373
-191.78223835115358,-323.52687957068326
-190.0904336534186,-323.87072609220684
-188.52949015674957,-324.36984051006
-187.28634810732547,-325.0131285642111
-187.28634810732547,-325.0131285642111
-186.0525585839757,-325.9558669086393
-184.93093544511999,-327.0206013894875
-183.30460477566413,-329.8155043137267
-182.82793696147723,-331.468036986132
-182.575598606194,-333.1649285265212
-182.5662828601629,-334.85072478585624
-182.5662828601629,-334.85072478585624
-182.61304953738056,-336.54761076186116
-182.70655224355977,-338.2888589208236
-183.05245848761356,-341.82680608562913
-183.10857356312857,-343.5902364489739
-183.22077092613284,-345.35366576402816
-183.37970542232358,-347.21691107459964
-183.37970542232358,-347.21691107459964
-183.53863914977973,-349.0357933224394
-183.7536542021084,-350.79922069850045
-183.97805081575117,-354.4037146149822
-183.9500436678634,-356.22260033258027
-183.9500774742704,-358.03039475658306
-183.96880415406298,-359.77164424639386
-183.96880415406298,-359.77164424639386
-183.97818212096678,-361.4241678029393
-184.03429539677265,-363.07669047870445
-183.72590492320364,-366.42610673761703
-183.89417717771252,-367.76808593791407
-184.06244719322075,-368.98806673986167
-184.06244719322075,-368.98806673986167
-184.05312212422544,-370.16368780628636
-183.8942422818843,-371.2505855654284
-183.70731808597705,-372.1711223965856
-182.5950525534798,-374.1009358843096
-182.0342425962642,-374.8772996936635
-181.54820770671236,-375.5760267500087
-181.54820770671236,-375.5760267500087
-181.15564083428367,-376.13057214040407
-180.7256852117156,-376.66293667619516
-179.87511542782434,-377.4282149165312
-179.36103235845545,-377.760947193934
-178.76282577134006,-378.1047717381901
-178.21135392301682,-378.4153231104695
-178.21135392301682,-378.4153231104695
-177.71596389650074,-378.69260114767053
-177.3420852385208,-378.9366046811806
-177.06167253995102,-378.9144282080822
-200.69191063302333,-419.5172565634059
