tru_x, tru_y, ukf_x,ukf_y,error
-102.97785949707031, -35.43730545043945, -100.97580868332058,-33.431866150358545,2.8230498019874153
-102.97785949707031, -35.43730545043945, -100.99816386048435,-33.43125173257335,2.8230180363792376
-102.97785949707031, -35.43730545043945, -100.98388224592537,-33.42751366905539,2.8230731131261804
-102.97785949707031, -35.43730545043945, -100.99350284955763,-33.454868336977796,2.8229506400398976
-102.97785949707031, -35.43730163574219, -100.99097741457595,-33.443229251537325,2.822897041721326
-102.97785949707031, -35.43730163574219, -101.00037220984356,-33.43737892204968,2.822827716947639
-102.97787475585938, -35.43833541870117, -100.9890756880039,-33.44342796978436,2.8227885214958524
-102.9782485961914, -35.46251678466797, -100.989453424382,-33.444966589265576,2.8228556163824967
-102.97894287109375, -35.50741958618164, -100.98656303187654,-33.494533333400526,2.8229166119188567
-102.98001098632812, -35.576072692871094, -100.99926416549343,-33.54853133464044,2.822991704647194
-102.98149871826172, -35.685569763183594, -101.0120266757831,-33.736497099263225,2.822655416746615
-102.98312377929688, -35.80420684814453, -100.96956779433839,-33.91395097285863,2.822265243344442
-102.98312377929688, -35.80420684814453, -100.96441025286913,-34.037789600668475,2.821374577147056
-102.98703002929688, -36.08326721191406, -101.00962227144348,-34.15888592499766,2.8209812967043777
-102.99092864990234, -36.36221694946289, -101.01898618654816,-34.452129644190926,2.820505678536942
-102.99092864990234, -36.36221694946289, -101.02715109317298,-34.536249477293666,2.8196370529974653
-102.99823760986328, -36.88218307495117, -101.03047180322169,-34.90519383631134,2.8194490630240687
-103.00216674804688, -37.162899017333984, -101.04377426386766,-35.12645167626271,2.8194852878554495
-103.00547790527344, -37.3956413269043, -101.04365078494078,-35.41051742093635,2.8193103134021182
-103.01173400878906, -37.8388671875, -101.05544758463985,-35.85159042348104,2.8191230942605228
-103.01173400878906, -37.8388671875, -101.06500524768812,-35.939940176192714,2.818519313935359
-103.02305603027344, -38.5484619140625, -101.04458685219842,-36.50794504349387,2.818661914143509
-103.04713439941406, -39.066917419433594, -101.06691237842776,-37.01497104388263,2.818859295833192
-103.07091522216797, -39.57911682128906, -101.08254705736825,-37.44322443773653,2.819450357631025
-103.07091522216797, -39.57911682128906, -101.09953652977109,-37.63426862438708,2.8191533385553806
-103.15101623535156, -40.5180778503418, -101.1258742172153,-38.04112219101766,2.8213904046101863
-103.19116973876953, -40.98369598388672, -101.1596861251487,-38.78231792095306,2.822408560874145
-103.25520324707031, -41.64529800415039, -101.22011038336481,-39.45923841426824,2.8233638240590557
-103.31452178955078, -42.2308349609375, -101.26651420900251,-40.041310646120856,2.8243736169872258
-103.37356567382812, -42.79807662963867, -101.30761718683988,-40.55003239688504,2.8256885377634164
-103.43071746826172, -43.32589340209961, -101.34931289502211,-41.04507851369745,2.8271861812620505
-103.4620361328125, -43.60883331298828, -101.44105620381738,-41.553825597546144,2.8274990946508796
-103.59088897705078, -44.38956832885742, -101.51399796037695,-42.120914111913464,2.8289016698648886
-103.68582916259766, -44.83441162109375, -101.57488176676641,-42.57531853870252,2.830378965856111
-103.92523956298828, -45.56869125366211, -101.67178042276896,-43.28594659113512,2.8324866102590813
